experiment,family,contrast,method,interior_points,cases_with_multiple_feasible_initializations,median_within_case_cost_range_percent,maximum_within_case_cost_range_percent
baseline,competing_corridors,,euler_lagrange,32,20,27.05291829324665,98.83790644090745
baseline,competing_corridors,,euler_lagrange,64,20,26.712548563467898,79.68766099289478
baseline,competing_corridors,,euler_lagrange,128,20,31.0097547728923,82.60797545889282
baseline,competing_corridors,,slsqp,32,20,26.754888623217916,144.62624592512125
baseline,competing_corridors,,slsqp,64,20,5.377929237963807,23.43897688828346
baseline,correlated_roughness,,euler_lagrange,32,18,35.130411613139465,68.92262507594846
baseline,correlated_roughness,,euler_lagrange,64,19,38.49928996641222,68.97833006004775
baseline,correlated_roughness,,euler_lagrange,128,18,37.6968568179484,68.50350092570082
baseline,correlated_roughness,,slsqp,32,20,22.496214273737728,51.831098744484905
baseline,correlated_roughness,,slsqp,64,20,10.05299649431446,39.9727986197819
baseline,dead_ends,,euler_lagrange,32,20,1.8999244921062078e-12,37.254435947180816
baseline,dead_ends,,euler_lagrange,64,15,50.98253951323341,131.17888268140518
baseline,dead_ends,,euler_lagrange,128,12,90.0912350167992,108.2475960665645
baseline,dead_ends,,slsqp,32,20,1.188121933382174,413.21511035873243
baseline,dead_ends,,slsqp,64,20,1.8020694922764828e-08,5.238212228104988e-08
baseline,ridge_pass,,euler_lagrange,32,19,1.5657234938039964e-14,2.1894966213885284e-13
baseline,ridge_pass,,euler_lagrange,64,19,1.5587984082416394e-14,2.922663929029326e-13
baseline,ridge_pass,,euler_lagrange,128,19,0.0,6.153010616233196e-14
baseline,ridge_pass,,slsqp,32,20,0.15633794740847862,35.593584576460216
baseline,ridge_pass,,slsqp,64,20,3.1930613397335276e-08,14.246882258086103
baseline,ridge_pass,,slsqp,128,1,0.0,0.0
contrast_sweep,competing_corridors,0.0,slsqp,64,1,1.6023978864674688,1.6023978864674688
contrast_sweep,competing_corridors,1.0,euler_lagrange,64,1,6.175494580978686,6.175494580978686
contrast_sweep,competing_corridors,1.0,slsqp,64,1,6.176776910386915,6.176776910386915
contrast_sweep,competing_corridors,2.0,euler_lagrange,64,1,126.19434163242657,126.19434163242657
contrast_sweep,competing_corridors,2.0,slsqp,64,1,8.715772695317524,8.715772695317524
contrast_sweep,competing_corridors,4.0,euler_lagrange,64,1,332.4656202418427,332.4656202418427
contrast_sweep,competing_corridors,4.0,slsqp,64,1,16.817575414534723,16.817575414534723
contrast_sweep,correlated_roughness,0.0,euler_lagrange,64,1,3.2297397080004557e-14,3.2297397080004557e-14
contrast_sweep,correlated_roughness,0.0,slsqp,64,1,6.601186195981675,6.601186195981675
contrast_sweep,correlated_roughness,1.0,euler_lagrange,64,1,19.69929130848526,19.69929130848526
contrast_sweep,correlated_roughness,1.0,slsqp,64,1,9.288319126043188,9.288319126043188
contrast_sweep,correlated_roughness,2.0,euler_lagrange,64,1,46.82310502880664,46.82310502880664
contrast_sweep,correlated_roughness,2.0,slsqp,64,1,9.909225772239074,9.909225772239074
contrast_sweep,correlated_roughness,4.0,euler_lagrange,64,1,202.51125981875563,202.51125981875563
contrast_sweep,correlated_roughness,4.0,slsqp,64,1,5.645374381057786,5.645374381057786
contrast_sweep,dead_ends,1.0,slsqp,64,1,3.2479943339476576e-09,3.2479943339476576e-09
contrast_sweep,dead_ends,2.0,euler_lagrange,64,1,408.31369450884756,408.31369450884756
contrast_sweep,dead_ends,2.0,slsqp,64,1,4.893618036503467e-08,4.893618036503467e-08
contrast_sweep,dead_ends,4.0,euler_lagrange,64,1,4102.397506548587,4102.397506548587
contrast_sweep,dead_ends,4.0,slsqp,64,1,1940.5467443401599,1940.5467443401599
contrast_sweep,ridge_pass,0.0,euler_lagrange,64,1,3.2297397080004557e-14,3.2297397080004557e-14
contrast_sweep,ridge_pass,0.0,slsqp,64,1,1.2519294691835308e-08,1.2519294691835308e-08
contrast_sweep,ridge_pass,1.0,euler_lagrange,64,1,4.6918131614432493e-14,4.6918131614432493e-14
contrast_sweep,ridge_pass,1.0,slsqp,64,1,3.2254997222664854e-08,3.2254997222664854e-08
contrast_sweep,ridge_pass,2.0,slsqp,64,1,6.374222921724103e-08,6.374222921724103e-08
contrast_sweep,ridge_pass,4.0,slsqp,64,1,1.0443677040258707e-07,1.0443677040258707e-07
