experiment,family,contrast,method,initialization,declared_coarse_interior_points,declared_fine_interior_points,cases,cases_with_two_feasible_finest_levels,unresolved_cases,median_signed_change_percent,median_absolute_change_percent,over_0p5_percent
baseline,competing_corridors,,euler_lagrange,arc_left,64,128,20,15,5,-0.009457165954507215,0.28234262934545695,6
baseline,competing_corridors,,euler_lagrange,arc_right,64,128,20,20,0,-0.0054241155806164535,0.0054241155806164535,0
baseline,competing_corridors,,euler_lagrange,barrier,64,128,20,0,20,,,0
baseline,competing_corridors,,euler_lagrange,fast_marching,64,128,20,20,0,-0.007543366154705088,0.007543366154705088,0
baseline,competing_corridors,,euler_lagrange,straight,64,128,20,0,20,,,0
baseline,competing_corridors,,slsqp,arc_left,64,128,20,0,20,,,0
baseline,competing_corridors,,slsqp,arc_right,64,128,20,0,20,,,0
baseline,competing_corridors,,slsqp,barrier,64,128,20,0,20,,,0
baseline,competing_corridors,,slsqp,fast_marching,64,128,20,0,20,,,0
baseline,competing_corridors,,slsqp,straight,64,128,20,0,20,,,0
baseline,correlated_roughness,,euler_lagrange,arc_left,64,128,20,10,10,-0.020838609239266156,0.09780187557180159,2
baseline,correlated_roughness,,euler_lagrange,arc_right,64,128,20,10,10,-0.014001518694466258,0.03456905532176355,2
baseline,correlated_roughness,,euler_lagrange,barrier,64,128,20,16,4,-0.011693995964242372,0.11447367554326977,4
baseline,correlated_roughness,,euler_lagrange,fast_marching,64,128,20,13,7,-0.007434651242919924,0.007434651242919924,0
baseline,correlated_roughness,,euler_lagrange,straight,64,128,20,14,6,-0.011693995964242372,0.015866343678416734,1
baseline,correlated_roughness,,slsqp,arc_left,64,128,20,0,20,,,0
baseline,correlated_roughness,,slsqp,arc_right,64,128,20,0,20,,,0
baseline,correlated_roughness,,slsqp,barrier,64,128,20,0,20,,,0
baseline,correlated_roughness,,slsqp,fast_marching,64,128,20,0,20,,,0
baseline,correlated_roughness,,slsqp,straight,64,128,20,0,20,,,0
baseline,dead_ends,,euler_lagrange,arc_left,64,128,20,0,20,,,0
baseline,dead_ends,,euler_lagrange,arc_right,64,128,20,0,20,,,0
baseline,dead_ends,,euler_lagrange,barrier,64,128,20,8,12,18.431992719862823,18.431992719862823,8
baseline,dead_ends,,euler_lagrange,fast_marching,64,128,20,20,0,-0.005530792502121565,0.005530792502121565,0
baseline,dead_ends,,euler_lagrange,straight,64,128,20,0,20,,,0
