experiment,family,contrast,initialization,interior_points,paired_cases,matched_seed_pairs,paired_feasible_cases,paired_feasible_rate,mean_slsqp_minus_euler_percent,bootstrap_95_low_percent,bootstrap_95_high_percent
baseline,competing_corridors,,arc_left,32,20,20,16,0.8,-18.855502026287844,-25.870981981331326,-12.235350486466347
baseline,competing_corridors,,arc_left,64,20,20,16,0.8,-17.90575419425933,-23.845839104622353,-12.0515100377695
baseline,competing_corridors,,arc_left,128,20,0,0,0.0,,,
baseline,competing_corridors,,arc_right,32,20,20,20,1.0,0.00223210057533832,0.0009322391364102926,0.0034421919408548617
baseline,competing_corridors,,arc_right,64,20,20,20,1.0,0.0006607753858481185,0.00034154022096737004,0.0009534278837412034
baseline,competing_corridors,,arc_right,128,20,0,0,0.0,,,
baseline,competing_corridors,,barrier,32,20,20,3,0.15,-18.89088386137175,-27.31329075527996,-7.0904100894248066
baseline,competing_corridors,,barrier,64,20,20,3,0.15,-33.52385366409865,-43.597438135261434,-19.421655065858907
baseline,competing_corridors,,barrier,128,20,0,0,0.0,,,
baseline,competing_corridors,,fast_marching,32,20,20,20,1.0,-0.002677900444644533,-0.00816220404933717,0.0016234439661464597
baseline,competing_corridors,,fast_marching,64,20,20,20,1.0,-0.00015663908917508244,-0.001222595193580468,0.000660662075184621
baseline,competing_corridors,,fast_marching,128,20,0,0,0.0,,,
baseline,competing_corridors,,straight,32,20,20,0,0.0,,,
baseline,competing_corridors,,straight,64,20,7,0,0.0,,,
baseline,competing_corridors,,straight,128,20,2,0,0.0,,,
baseline,correlated_roughness,,arc_left,32,20,19,11,0.5789473684210527,-17.78249199449563,-26.352766496027954,-9.257312267350809
baseline,correlated_roughness,,arc_left,64,20,17,10,0.5882352941176471,-16.67217857090673,-25.969179172728396,-7.561519792649482
baseline,correlated_roughness,,arc_left,128,20,0,0,0.0,,,
baseline,correlated_roughness,,arc_right,32,20,19,12,0.631578947368421,-19.24084985615843,-24.436539410959472,-13.603783505158038
baseline,correlated_roughness,,arc_right,64,20,17,12,0.7058823529411765,-21.09197693159817,-25.934995929668464,-15.381491704722157
baseline,correlated_roughness,,arc_right,128,20,0,0,0.0,,,
baseline,correlated_roughness,,barrier,32,20,16,15,0.9375,-12.904117382147195,-16.885670764723884,-9.062989164770656
baseline,correlated_roughness,,barrier,64,20,16,14,0.875,-12.974877237197857,-17.44264379408278,-8.369009039756508
baseline,correlated_roughness,,barrier,128,20,0,0,0.0,,,
baseline,correlated_roughness,,fast_marching,32,20,12,12,1.0,-0.04298876516379724,-0.07878490022088211,-0.01324627976787872
baseline,correlated_roughness,,fast_marching,64,20,12,12,1.0,-0.00335932278144984,-0.0069125767019694966,-0.0005466058048321392
baseline,correlated_roughness,,fast_marching,128,20,0,0,0.0,,,
baseline,correlated_roughness,,straight,32,20,20,15,0.75,-12.911265495958924,-16.880319695466454,-9.131520963438998
baseline,correlated_roughness,,straight,64,20,20,14,0.7,-13.035111725967848,-17.47456611879183,-8.489305668907523
baseline,correlated_roughness,,straight,128,20,0,0,0.0,,,
baseline,dead_ends,,arc_left,32,20,20,0,0.0,,,
baseline,dead_ends,,arc_left,64,20,9,0,0.0,,,
baseline,dead_ends,,arc_left,128,20,6,0,0.0,,,
baseline,dead_ends,,arc_right,32,20,20,0,0.0,,,
baseline,dead_ends,,arc_right,64,20,9,0,0.0,,,
baseline,dead_ends,,arc_right,128,20,8,0,0.0,,,
baseline,dead_ends,,barrier,32,20,20,20,1.0,-7.61587281352796,-12.904921243439151,-2.5812324545080814
baseline,dead_ends,,barrier,64,20,20,15,0.75,-34.95437956979379,-39.04644726668721,-31.37472849340172
baseline,dead_ends,,barrier,128,20,0,0,0.0,,,
baseline,dead_ends,,fast_marching,32,20,20,20,1.0,0.0015000162683339946,0.0014044143231627302,0.001595611657752911
baseline,dead_ends,,fast_marching,64,20,20,20,1.0,0.000548265965043679,0.0005133017348467182,0.000583873710196428
baseline,dead_ends,,fast_marching,128,20,0,0,0.0,,,
baseline,dead_ends,,straight,32,20,20,0,0.0,,,
baseline,dead_ends,,straight,64,20,3,0,0.0,,,
baseline,dead_ends,,straight,128,20,0,0,0.0,,,
baseline,ridge_pass,,arc_left,32,20,20,7,0.35,0.000859579013185148,0.000601654476267312,0.0011428420545466303
baseline,ridge_pass,,arc_left,64,20,16,7,0.4375,0.0002257020764021937,0.0001576030770253675,0.00030082179524534624
baseline,ridge_pass,,arc_left,128,20,11,0,0.0,,,
baseline,ridge_pass,,arc_right,32,20,17,0,0.0,,,
baseline,ridge_pass,,arc_right,64,20,12,0,0.0,,,
baseline,ridge_pass,,arc_right,128,20,12,0,0.0,,,
baseline,ridge_pass,,barrier,32,20,20,19,0.95,0.00039434069280307486,0.0001592384655952295,0.0006307873649324056
baseline,ridge_pass,,barrier,64,20,20,19,0.95,0.00011947025581083492,7.474240720924963e-05,0.00017343317757514729
baseline,ridge_pass,,barrier,128,20,1,1,1.0,9.235838501975473e-07,,
baseline,ridge_pass,,fast_marching,32,20,20,20,1.0,0.00044356816011639,0.0002763212193218413,0.0006342289583277172
baseline,ridge_pass,,fast_marching,64,20,20,20,1.0,0.00011660433331306896,7.2593672760385e-05,0.00016681830920371371
baseline,ridge_pass,,fast_marching,128,20,0,0,0.0,,,
baseline,ridge_pass,,straight,32,20,20,9,0.45,-2.7320022877454437e-05,-0.00026340436336986665,0.00011499483847316644
baseline,ridge_pass,,straight,64,20,16,9,0.5625,2.616669660561475e-05,1.3440349883895345e-05,3.859598374221176e-05
